query_id,retrieval_ms,compression_ms,router_ms,generation_ms,total_ms
unknown,7661.89432144165,4688.536643981934,,56861.07921600342,69215.6035900116
unknown,112.8683090209961,15415.2672290802,,63782.630443573,79317.4843788147
unknown,117.32769012451172,15554.407358169556,,51212.09168434143,66888.23008537292
unknown,135.4074478149414,15541.645288467407,,52972.36752510071,68654.11424636841
unknown,112.84899711608887,15547.719717025757,,53703.62138748169,69369.08650398254
unknown,128.4317970275879,5535.203695297241,,38503.098011016846,44168.92051696777
unknown,130.3274631500244,15630.392074584961,,57745.91159820557,73512.05801963806
unknown,122.82991409301758,15831.113815307617,,55619.18759346008,71578.33409309387
unknown,132.39216804504395,15681.406497955322,,57577.2762298584,73396.90613746643
unknown,128.57913970947266,15457.792520523071,,68621.11234664917,84215.22760391235
