query_id,retrieval_ms,compression_ms,router_ms,generation_ms,total_ms
unknown,16383.777618408203,,,80548.26021194458,96959.04684066772
unknown,125.81539154052734,,,107221.55737876892,107358.54744911194
unknown,153.639554977417,,,30338.51432800293,30500.281810760498
unknown,30.877351760864258,,,70647.9561328888,70683.88795852661
unknown,114.34412002563477,,,70025.4545211792,70149.61528778076
unknown,129.04596328735352,,,67868.57652664185,68005.12981414795
unknown,120.30696868896484,,,83106.43553733826,83238.81649971008
unknown,137.2690200805664,,,78195.12057304382,78344.9079990387
unknown,131.09970092773438,,,82525.29811859131,82666.44740104675
unknown,151.2300968170166,,,100309.36193466187,100474.11060333252
